od_id,route_id,trip_count,avg_time_sec,avg_distance_m,avg_speed_kph,avg_circuity,sample_start_node,sample_end_node,sample_route_node_seq,sample_edge_seq,share,od_trip_count,stable_share_norm,route_rank,kept_trip_total,kept_route_count
10690894231__11489067978,38fc7a3e63f2,81,254.814814815,110.188788934,1.55673695994,1.00000003139,10690894231,11489067978,10690894231;11489067978,10690894231|11489067978|0,0.920454545455,88,0.941860465116,1,86,2
10690894231__11489067978,9eca7ec369ba,5,60.000001,353.943431332,21.236605526,3.2121547561,10690894231,11489067978,10690894231;11489067978;3573222227;2198252493;10690894231;11489067978,10690894231|11489067978|0;11489067978|3573222227|0;3573222227|2198252493|0;2198252493|10690894231|0;10690894231|11489067978|0,0.0568181818182,88,0.0581395348837,2,86,2
10690894231__2334439514,8f7bfa99d6b4,41,852.439024171,6210.26903141,26.2270589205,1.34896335955,10690894231,2334439514,10690894231;11489067978;3573222227;2198252493;420807840;420776909;420776895;788826702;788826707;431925048;430267079;112651995;446308238;287458421;10832280405;4520426801;112651997;3139458237;11489024178;112652002;112652004;2169139649;2169139651;430284836;112652015;112652019;112627996;112627997;3139458269;112628000;112629313;2486315150;291991193;1561621066;2583954419;3241140499;2292597582;13164581654;1561604006;1561604053;10701585840;3139458268;3139458022;1561604104;6241914180;1561604110;885948003;5486537273;5474314828;112628017;112628020;112628025;112628026;296060854;112628027;1837851206;7115350897;7115350900;492795582;1837851182;3897692305;111641067;5476877544;9864964885;10828125196;5585519385;13326746628;3237136821;4606349508;11028544799;1398246221;1837851213;3237136830;6094501302;492795541;1837851208;4604359585;6094493381;2334439514,10690894231|11489067978|0;11489067978|3573222227|0;3573222227|2198252493|0;2198252493|420807840|0;420807840|420776909|0;420776909|420776895|0;420776895|788826702|0;788826702|788826707|0;788826707|431925048|0;431925048|430267079|0;430267079|112651995|0;112651995|446308238|0;446308238|287458421|0;287458421|10832280405|0;10832280405|4520426801|0;4520426801|112651997|0;112651997|3139458237|0;3139458237|11489024178|0;11489024178|112652002|0;112652002|112652004|0;112652004|2169139649|0;2169139649|2169139651|0;2169139651|430284836|0;430284836|112652015|0;112652015|112652019|0;112652019|112627996|0;112627996|112627997|0;112627997|3139458269|0;3139458269|112628000|0;112628000|112629313|0;112629313|2486315150|0;2486315150|291991193|0;291991193|1561621066|0;1561621066|2583954419|0;2583954419|3241140499|0;3241140499|2292597582|0;2292597582|13164581654|0;13164581654|1561604006|0;1561604006|1561604053|0;1561604053|10701585840|0;10701585840|3139458268|0;3139458268|3139458022|0;3139458022|1561604104|0;1561604104|6241914180|0;6241914180|1561604110|0;1561604110|885948003|0;885948003|5486537273|0;5486537273|5474314828|0;5474314828|112628017|0;112628017|112628020|0;112628020|112628025|0;112628025|112628026|0;112628026|296060854|0;296060854|112628027|0;112628027|1837851206|0;1837851206|7115350897|0;7115350897|7115350900|0;7115350900|492795582|0;492795582|1837851182|0;1837851182|3897692305|0;3897692305|111641067|0;111641067|5476877544|0;5476877544|9864964885|0;9864964885|10828125196|0;10828125196|5585519385|0;5585519385|13326746628|0;13326746628|3237136821|0;3237136821|4606349508|0;4606349508|11028544799|0;11028544799|1398246221|0;1398246221|1837851213|0;1837851213|3237136830|0;3237136830|6094501302|0;6094501302|492795541|0;492795541|1837851208|0;1837851208|4604359585|0;4604359585|6094493381|0;6094493381|2334439514|0,0.683333333333,60,0.719298245614,1,57,4
10690894231__2334439514,f9a5df636178,12,786.2500005,6044.99448425,27.6781941233,1.31306325486,10690894231,2334439514,10690894231;11489067978;3573222227;2198252493;420807840;420776909;420776895;788826702;788826707;431925048;430267079;112651995;446308238;287458421;10832280405;4520426801;112651997;3139458237;11489024178;112652002;112652004;2169139649;2169139651;430284836;112652015;112652019;112627996;112627997;3139458269;112628000;112629313;2486315150;291991193;1561621066;2583954419;3241140499;2292597582;13164581654;1561604006;1561604053;10701585840;3139458268;3139458022;1561604104;6241914180;1561604110;885948003;5486537273;5474314828;112628017;112628020;112628025;112628026;296060854;296060663;3108425096;1801521191;5264881704;1801521211;296061005;1277675385;1353862711;5869817043;1398246222;1353862709;1837851213;3237136830;6094501302;492795541;1837851208;4604359585;6094493381;2334439514,10690894231|11489067978|0;11489067978|3573222227|0;3573222227|2198252493|0;2198252493|420807840|0;420807840|420776909|0;420776909|420776895|0;420776895|788826702|0;788826702|788826707|0;788826707|431925048|0;431925048|430267079|0;430267079|112651995|0;112651995|446308238|0;446308238|287458421|0;287458421|10832280405|0;10832280405|4520426801|0;4520426801|112651997|0;112651997|3139458237|0;3139458237|11489024178|0;11489024178|112652002|0;112652002|112652004|0;112652004|2169139649|0;2169139649|2169139651|0;2169139651|430284836|0;430284836|112652015|0;112652015|112652019|0;112652019|112627996|0;112627996|112627997|0;112627997|3139458269|0;3139458269|112628000|0;112628000|112629313|0;112629313|2486315150|0;2486315150|291991193|0;291991193|1561621066|0;1561621066|2583954419|0;2583954419|3241140499|0;3241140499|2292597582|0;2292597582|13164581654|0;13164581654|1561604006|0;1561604006|1561604053|0;1561604053|10701585840|0;10701585840|3139458268|0;3139458268|3139458022|0;3139458022|1561604104|0;1561604104|6241914180|0;6241914180|1561604110|0;1561604110|885948003|0;885948003|5486537273|0;5486537273|5474314828|0;5474314828|112628017|0;112628017|112628020|0;112628020|112628025|0;112628025|112628026|0;112628026|296060854|0;296060854|296060663|0;296060663|3108425096|0;3108425096|1801521191|0;1801521191|5264881704|0;5264881704|1801521211|0;1801521211|296061005|0;296061005|1277675385|0;1277675385|1353862711|0;1353862711|5869817043|0;5869817043|1398246222|0;1398246222|1353862709|0;1353862709|1837851213|0;1837851213|3237136830|0;3237136830|6094501302|0;6094501302|492795541|0;492795541|1837851208|0;1837851208|4604359585|0;4604359585|6094493381|0;6094493381|2334439514|0,0.2,60,0.210526315789,2,57,4
10690894231__2334439514,34b59c273e66,2,907.5000015,6222.67445139,24.6849895184,1.3516580024,10690894231,2334439514,10690894231;11489067978;3573222227;2198252493;420807840;420776909;420776895;788826702;788826707;431925048;430267079;112651995;446308238;287458421;10832280405;4520426801;112651997;3139458237;11489024178;112652002;112613592;112652004;2169139649;2169139651;430284836;112652015;112652019;112627996;112627997;3139458269;112628000;112629313;2486315150;291991193;1561621066;2583954419;3241140499;2292597582;13164581654;1561604006;1561604053;10701585840;3139458268;3139458022;1561604104;6241914180;1561604110;885948003;5486537273;5474314828;112628017;112628020;112628025;112628026;296060854;112628027;1837851206;7115350897;7115350900;492795582;1837851182;3897692305;111641067;5476877544;9864964885;10828125196;5585519385;13326746628;3237136821;4606349508;11028544799;1398246221;1837851213;3237136830;6094501302;492795541;1837851208;4604359585;6094493381;2334439514,10690894231|11489067978|0;11489067978|3573222227|0;3573222227|2198252493|0;2198252493|420807840|0;420807840|420776909|0;420776909|420776895|0;420776895|788826702|0;788826702|788826707|0;788826707|431925048|0;431925048|430267079|0;430267079|112651995|0;112651995|446308238|0;446308238|287458421|0;287458421|10832280405|0;10832280405|4520426801|0;4520426801|112651997|0;112651997|3139458237|0;3139458237|11489024178|0;11489024178|112652002|0;112652002|112613592|0;112613592|112652004|0;112652004|2169139649|0;2169139649|2169139651|0;2169139651|430284836|0;430284836|112652015|0;112652015|112652019|0;112652019|112627996|0;112627996|112627997|0;112627997|3139458269|0;3139458269|112628000|0;112628000|112629313|0;112629313|2486315150|0;2486315150|291991193|0;291991193|1561621066|0;1561621066|2583954419|0;2583954419|3241140499|0;3241140499|2292597582|0;2292597582|13164581654|0;13164581654|1561604006|0;1561604006|1561604053|0;1561604053|10701585840|0;10701585840|3139458268|0;3139458268|3139458022|0;3139458022|1561604104|0;1561604104|6241914180|0;6241914180|1561604110|0;1561604110|885948003|0;885948003|5486537273|0;5486537273|5474314828|0;5474314828|112628017|0;112628017|112628020|0;112628020|112628025|0;112628025|112628026|0;112628026|296060854|0;296060854|112628027|0;112628027|1837851206|0;1837851206|7115350897|0;7115350897|7115350900|0;7115350900|492795582|0;492795582|1837851182|0;1837851182|3897692305|0;3897692305|111641067|0;111641067|5476877544|0;5476877544|9864964885|0;9864964885|10828125196|0;10828125196|5585519385|0;5585519385|13326746628|0;13326746628|3237136821|0;3237136821|4606349508|0;4606349508|11028544799|0;11028544799|1398246221|0;1398246221|1837851213|0;1837851213|3237136830|0;3237136830|6094501302|0;6094501302|492795541|0;492795541|1837851208|0;1837851208|4604359585|0;4604359585|6094493381|0;6094493381|2334439514|0,0.0333333333333,60,0.0350877192982,3,57,4
10690894231__2334439514,473570922dd1,2,644.9999975,6042.96689817,33.7281874693,1.31262283283,10690894231,2334439514,10690894231;11489067978;3573222227;2198252493;420807840;420776909;420776895;788826702;788826707;431925048;430267079;112651995;446308238;287458421;10832280405;4520426801;112651997;3139458237;11489024178;112652002;112652004;2169139649;2169139651;430284836;112652015;112652019;112627996;112627997;3139458269;112628000;112629313;2486315150;291991193;1561621066;2583954419;3241140499;2292597582;13164581654;1561604006;1561604053;10701585840;3139458268;3139458022;1561604104;6241914180;1561604110;885948003;5486537273;5474314828;112628017;112628020;112628025;112628026;296060854;296060663;3108425096;1801521191;5264881704;1801521211;296061005;1277675385;1353862711;297353355;3237136833;3237136830;6094501302;492795541;1837851208;4604359585;6094493381;2334439514,10690894231|11489067978|0;11489067978|3573222227|0;3573222227|2198252493|0;2198252493|420807840|0;420807840|420776909|0;420776909|420776895|0;420776895|788826702|0;788826702|788826707|0;788826707|431925048|0;431925048|430267079|0;430267079|112651995|0;112651995|446308238|0;446308238|287458421|0;287458421|10832280405|0;10832280405|4520426801|0;4520426801|112651997|0;112651997|3139458237|0;3139458237|11489024178|0;11489024178|112652002|0;112652002|112652004|0;112652004|2169139649|0;2169139649|2169139651|0;2169139651|430284836|0;430284836|112652015|0;112652015|112652019|0;112652019|112627996|0;112627996|112627997|0;112627997|3139458269|0;3139458269|112628000|0;112628000|112629313|0;112629313|2486315150|0;2486315150|291991193|0;291991193|1561621066|0;1561621066|2583954419|0;2583954419|3241140499|0;3241140499|2292597582|0;2292597582|13164581654|0;13164581654|1561604006|0;1561604006|1561604053|0;1561604053|10701585840|0;10701585840|3139458268|0;3139458268|3139458022|0;3139458022|1561604104|0;1561604104|6241914180|0;6241914180|1561604110|0;1561604110|885948003|0;885948003|5486537273|0;5486537273|5474314828|0;5474314828|112628017|0;112628017|112628020|0;112628020|112628025|0;112628025|112628026|0;112628026|296060854|0;296060854|296060663|0;296060663|3108425096|0;3108425096|1801521191|0;1801521191|5264881704|0;5264881704|1801521211|0;1801521211|296061005|0;296061005|1277675385|0;1277675385|1353862711|0;1353862711|297353355|0;297353355|3237136833|0;3237136833|3237136830|0;3237136830|6094501302|0;6094501302|492795541|0;492795541|1837851208|0;1837851208|4604359585|0;4604359585|6094493381|0;6094493381|2334439514|0,0.0333333333333,60,0.0350877192982,4,57,4
1108123561__10044812524,72c2a65a375d,21,882.142857857,7300.82266135,29.794450351,1.28505146095,1108123561,10044812524,1108123561;1108123577;314075202;314075673;314075196;311887398;90380150;481392108;314075175;311888898;311887143;311888929;311887112;90379616;90379618;9772989143;4468207755;5297768041;3025460919;3896082166;480486064;314074321;128668316;314074258;314553861;480500597;4773464587;428216032;428215793;428215781;128668309;314075504;428215941;314075458;428215354;128668307;314075546;479512726;1788785868;11385735385;129676781;128668299;1788786017;1788786111;428214874;1788786173;128668285;6548313440;128668278;128668277;2178845900;479226382;7188043869;128672584;311889489;479183225;311889376;311889375;479183608;9370483531;8286473847;479183873;8640058388;506097312;5297703224;335691896;3391599154;1418798464;1788786316;128673223;128673222;7188159642;128673221;1110673556;128674452;128677724;427067727;3391598673;1788785597;5884295414;128677717;25632362;1874214575;1684865542;2250794621;2641682868;12453381917;2641682864;2641682879;2273292142;2250794620;128680158;129558556;314549177;2213447626;129557542;2214758555;2086439968;2086440304;138220017;138220134;25620948;10044812524,1108123561|1108123577|0;1108123577|314075202|0;314075202|314075673|0;314075673|314075196|0;314075196|311887398|0;311887398|90380150|0;90380150|481392108|0;481392108|314075175|0;314075175|311888898|0;311888898|311887143|0;311887143|311888929|0;311888929|311887112|0;311887112|90379616|0;90379616|90379618|0;90379618|9772989143|0;9772989143|4468207755|0;4468207755|5297768041|0;5297768041|3025460919|0;3025460919|3896082166|0;3896082166|480486064|0;480486064|314074321|0;314074321|128668316|0;128668316|314074258|0;314074258|314553861|0;314553861|480500597|0;480500597|4773464587|0;4773464587|428216032|0;428216032|428215793|0;428215793|428215781|0;428215781|128668309|0;128668309|314075504|0;314075504|428215941|0;428215941|314075458|0;314075458|428215354|0;428215354|128668307|0;128668307|314075546|0;314075546|479512726|0;479512726|1788785868|0;1788785868|11385735385|0;11385735385|129676781|0;129676781|128668299|0;128668299|1788786017|0;1788786017|1788786111|0;1788786111|428214874|0;428214874|1788786173|0;1788786173|128668285|0;128668285|6548313440|0;6548313440|128668278|0;128668278|128668277|0;128668277|2178845900|0;2178845900|479226382|0;479226382|7188043869|0;7188043869|128672584|0;128672584|311889489|0;311889489|479183225|0;479183225|311889376|0;311889376|311889375|0;311889375|479183608|0;479183608|9370483531|0;9370483531|8286473847|0;8286473847|479183873|0;479183873|8640058388|0;8640058388|506097312|0;506097312|5297703224|0;5297703224|335691896|0;335691896|3391599154|0;3391599154|1418798464|0;1418798464|1788786316|0;1788786316|128673223|0;128673223|128673222|0;128673222|7188159642|0;7188159642|128673221|0;128673221|1110673556|0;1110673556|128674452|0;128674452|128677724|0;128677724|427067727|0;427067727|3391598673|0;3391598673|1788785597|0;1788785597|5884295414|0;5884295414|128677717|0;128677717|25632362|0;25632362|1874214575|0;1874214575|1684865542|0;1684865542|2250794621|0;2250794621|2641682868|0;2641682868|12453381917|0;12453381917|2641682864|0;2641682864|2641682879|0;2641682879|2273292142|0;2273292142|2250794620|0;2250794620|128680158|0;128680158|129558556|0;129558556|314549177|0;314549177|2213447626|0;2213447626|129557542|0;129557542|2214758555|0;2214758555|2086439968|0;2086439968|2086440304|0;2086440304|138220017|0;138220017|138220134|0;138220134|25620948|0;25620948|10044812524|0,0.287671232877,73,0.35593220339,1,59,9
1108123561__10044812524,b5e3bb916243,12,916.249999167,7480.52356274,29.3914159349,1.31668144521,1108123561,10044812524,1108123561;1108123577;314075202;314075673;314075196;311887398;90380150;481392108;314075175;311888898;311887143;311888929;311887112;90379616;90379618;9772989143;4468207755;5297768041;3025460919;3896082166;480486064;314074321;128668316;314074258;314553861;480500597;4773464587;428216032;428215793;428215781;128668309;314075504;428215941;314075458;428215354;128668307;314075546;479512726;1788785868;11385735385;129676781;128668299;1788786017;1788786111;428214874;1788786173;128668285;6548313440;128668278;128668277;2178845900;479226382;7188043869;128672584;311889489;479183225;311889376;311889375;479183608;9370483531;8286473847;479183873;8640058388;506097312;5297703224;335691896;3391599154;1418798464;1788786316;128673223;128673222;7188159642;128673221;1110673556;128674452;128677724;427067727;3391598673;1788785597;5884295414;128677717;25632362;1874214575;1684865542;2250794621;2641682868;12453381917;2641682864;2641682879;2273292142;2250794620;128680158;129558556;314549177;2213447626;129557542;2214758555;2086439968;2086440304;1684844050;129544876;25620960;25620947;25620948;10044812524,1108123561|1108123577|0;1108123577|314075202|0;314075202|314075673|0;314075673|314075196|0;314075196|311887398|0;311887398|90380150|0;90380150|481392108|0;481392108|314075175|0;314075175|311888898|0;311888898|311887143|0;311887143|311888929|0;311888929|311887112|0;311887112|90379616|0;90379616|90379618|0;90379618|9772989143|0;9772989143|4468207755|0;4468207755|5297768041|0;5297768041|3025460919|0;3025460919|3896082166|0;3896082166|480486064|0;480486064|314074321|0;314074321|128668316|0;128668316|314074258|0;314074258|314553861|0;314553861|480500597|0;480500597|4773464587|0;4773464587|428216032|0;428216032|428215793|0;428215793|428215781|0;428215781|128668309|0;128668309|314075504|0;314075504|428215941|0;428215941|314075458|0;314075458|428215354|0;428215354|128668307|0;128668307|314075546|0;314075546|479512726|0;479512726|1788785868|0;1788785868|11385735385|0;11385735385|129676781|0;129676781|128668299|0;128668299|1788786017|0;1788786017|1788786111|0;1788786111|428214874|0;428214874|1788786173|0;1788786173|128668285|0;128668285|6548313440|0;6548313440|128668278|0;128668278|128668277|0;128668277|2178845900|0;2178845900|479226382|0;479226382|7188043869|0;7188043869|128672584|0;128672584|311889489|0;311889489|479183225|0;479183225|311889376|0;311889376|311889375|0;311889375|479183608|0;479183608|9370483531|0;9370483531|8286473847|0;8286473847|479183873|0;479183873|8640058388|0;8640058388|506097312|0;506097312|5297703224|0;5297703224|335691896|0;335691896|3391599154|0;3391599154|1418798464|0;1418798464|1788786316|0;1788786316|128673223|0;128673223|128673222|0;128673222|7188159642|0;7188159642|128673221|0;128673221|1110673556|0;1110673556|128674452|0;128674452|128677724|0;128677724|427067727|0;427067727|3391598673|0;3391598673|1788785597|0;1788785597|5884295414|0;5884295414|128677717|0;128677717|25632362|0;25632362|1874214575|0;1874214575|1684865542|0;1684865542|2250794621|0;2250794621|2641682868|0;2641682868|12453381917|0;12453381917|2641682864|0;2641682864|2641682879|0;2641682879|2273292142|0;2273292142|2250794620|0;2250794620|128680158|0;128680158|129558556|0;129558556|314549177|0;314549177|2213447626|0;2213447626|129557542|0;129557542|2214758555|0;2214758555|2086439968|0;2086439968|2086440304|0;2086440304|1684844050|0;1684844050|129544876|0;129544876|25620960|0;25620960|25620947|0;25620947|25620948|0;25620948|10044812524|0,0.164383561644,73,0.203389830508,2,59,9
1108123561__10044812524,f27401178cb9,8,1074.37499975,8336.09789681,27.9324746346,1.46727502883,1108123561,10044812524,1108123561;1108123577;497991108;497991354;111439225;311887306;497991253;314075061;122523605;122522947;122525425;90380817;4506931994;1353859183;5633860405;5633860404;90381086;3896080908;4565597392;480477004;111447980;480348685;480348682;480331319;4505031812;111447973;6173735442;9364228241;6173735439;8298149081;111447963;111447960;9291072844;11417754559;4505062034;2157117615;2157117616;111459759;111459776;111459780;111467270;111467271;478821668;3391598608;478821940;111467467;122549700;1827037244;2258300905;1788784885;286969943;3392710660;2262128243;2207402779;2207418932;111481561;2356350457;129559334;6545541668;3688773918;137868887;10718774501;129559333;3092601795;2204100011;3992990334;138234852;13510322691;6550884965;25620747;25620743;25620737;10044812524,1108123561|1108123577|0;1108123577|497991108|0;497991108|497991354|0;497991354|111439225|0;111439225|311887306|0;311887306|497991253|0;497991253|314075061|0;314075061|122523605|0;122523605|122522947|0;122522947|122525425|0;122525425|90380817|0;90380817|4506931994|0;4506931994|1353859183|0;1353859183|5633860405|0;5633860405|5633860404|0;5633860404|90381086|0;90381086|3896080908|0;3896080908|4565597392|0;4565597392|480477004|0;480477004|111447980|0;111447980|480348685|0;480348685|480348682|0;480348682|480331319|0;480331319|4505031812|0;4505031812|111447973|0;111447973|6173735442|0;6173735442|9364228241|0;9364228241|6173735439|0;6173735439|8298149081|0;8298149081|111447963|0;111447963|111447960|0;111447960|9291072844|0;9291072844|11417754559|0;11417754559|4505062034|0;4505062034|2157117615|0;2157117615|2157117616|0;2157117616|111459759|0;111459759|111459776|0;111459776|111459780|0;111459780|111467270|0;111467270|111467271|0;111467271|478821668|0;478821668|3391598608|0;3391598608|478821940|0;478821940|111467467|0;111467467|122549700|0;122549700|1827037244|0;1827037244|2258300905|0;2258300905|1788784885|0;1788784885|286969943|0;286969943|3392710660|0;3392710660|2262128243|0;2262128243|2207402779|0;2207402779|2207418932|0;2207418932|111481561|0;111481561|2356350457|0;2356350457|129559334|0;129559334|6545541668|0;6545541668|3688773918|0;3688773918|137868887|0;137868887|10718774501|0;10718774501|129559333|0;129559333|3092601795|0;3092601795|2204100011|0;2204100011|3992990334|0;3992990334|138234852|0;138234852|13510322691|0;13510322691|6550884965|0;6550884965|25620747|0;25620747|25620743|0;25620743|25620737|0;25620737|10044812524|0,0.109589041096,73,0.135593220339,3,59,9
1108123561__10044812524,908b7b630d93,5,926.999999,7924.39918326,30.7743657934,1.39481003991,1108123561,10044812524,1108123561;1108123577;314075202;314075673;314075196;311887398;90380150;481392108;314075175;311888898;311887143;311888929;311887112;90379616;90379618;9772989143;4468207755;5297768041;3025460919;3896082166;480486064;314074321;128668316;314074258;314553861;480500597;4773464587;428216032;428215793;428215781;128668309;314075504;428215941;314075458;428215354;128668307;314075546;479512726;1788785868;11385735385;129676781;128668299;1788786017;1788786111;428214874;1788786173;128668285;6548313440;128668278;128668277;2178845900;479226382;7188043869;128672584;311889489;479183225;311889376;311889375;479183608;9370483531;8286473847;479183873;8640058388;506097312;5297703224;335691896;3391599154;1418798464;1788786316;128673223;128673222;7188159642;128673221;1110673556;128674452;128677724;427067727;3391598673;1788785597;5884295414;128677717;25632362;1874214575;1684865542;2250794621;2641682868;12453381917;2641682864;2641682879;2273292142;2250794620;128680158;129558556;314549177;2213447626;129557542;2214758555;2086439968;2086440304;1684844050;129544876;25620960;3554720424;2245520806;2204099858;2204100011;3992990334;138234852;13510322691;6550884965;25620747;25620743;25620737;10044812524,1108123561|1108123577|0;1108123577|314075202|0;314075202|314075673|0;314075673|314075196|0;314075196|311887398|0;311887398|90380150|0;90380150|481392108|0;481392108|314075175|0;314075175|311888898|0;311888898|311887143|0;311887143|311888929|0;311888929|311887112|0;311887112|90379616|0;90379616|90379618|0;90379618|9772989143|0;9772989143|4468207755|0;4468207755|5297768041|0;5297768041|3025460919|0;3025460919|3896082166|0;3896082166|480486064|0;480486064|314074321|0;314074321|128668316|0;128668316|314074258|0;314074258|314553861|0;314553861|480500597|0;480500597|4773464587|0;4773464587|428216032|0;428216032|428215793|0;428215793|428215781|0;428215781|128668309|0;128668309|314075504|0;314075504|428215941|0;428215941|314075458|0;314075458|428215354|0;428215354|128668307|0;128668307|314075546|0;314075546|479512726|0;479512726|1788785868|0;1788785868|11385735385|0;11385735385|129676781|0;129676781|128668299|0;128668299|1788786017|0;1788786017|1788786111|0;1788786111|428214874|0;428214874|1788786173|0;1788786173|128668285|0;128668285|6548313440|0;6548313440|128668278|0;128668278|128668277|0;128668277|2178845900|0;2178845900|479226382|0;479226382|7188043869|0;7188043869|128672584|0;128672584|311889489|0;311889489|479183225|0;479183225|311889376|0;311889376|311889375|0;311889375|479183608|0;479183608|9370483531|0;9370483531|8286473847|0;8286473847|479183873|0;479183873|8640058388|0;8640058388|506097312|0;506097312|5297703224|0;5297703224|335691896|0;335691896|3391599154|0;3391599154|1418798464|0;1418798464|1788786316|0;1788786316|128673223|0;128673223|128673222|0;128673222|7188159642|0;7188159642|128673221|0;128673221|1110673556|0;1110673556|128674452|0;128674452|128677724|0;128677724|427067727|0;427067727|3391598673|0;3391598673|1788785597|0;1788785597|5884295414|0;5884295414|128677717|0;128677717|25632362|0;25632362|1874214575|0;1874214575|1684865542|0;1684865542|2250794621|0;2250794621|2641682868|0;2641682868|12453381917|0;12453381917|2641682864|0;2641682864|2641682879|0;2641682879|2273292142|0;2273292142|2250794620|0;2250794620|128680158|0;128680158|129558556|0;129558556|314549177|0;314549177|2213447626|0;2213447626|129557542|0;129557542|2214758555|0;2214758555|2086439968|0;2086439968|2086440304|0;2086440304|1684844050|0;1684844050|129544876|0;129544876|25620960|0;25620960|3554720424|0;3554720424|2245520806|0;2245520806|2204099858|0;2204099858|2204100011|0;2204100011|3992990334|0;3992990334|138234852|0;138234852|13510322691|0;13510322691|6550884965|0;6550884965|25620747|0;25620747|25620743|0;25620743|25620737|0;25620737|10044812524|0,0.0684931506849,73,0.0847457627119,4,59,9
