route_id,seq,node_id,lon,lat
10690894231__11489067978__cand_01_fastest,0,10690894231,-8.5990632,41.1824076
10690894231__11489067978__cand_01_fastest,1,11489067978,-8.6002977,41.1827522
10690894231__2334439514__cand_01_fastest,0,10690894231,-8.5990632,41.1824076
10690894231__2334439514__cand_01_fastest,1,2198252493,-8.5990134,41.1825116
10690894231__2334439514__cand_01_fastest,2,420807840,-8.5972538,41.1820433
10690894231__2334439514__cand_01_fastest,3,420776909,-8.5971857,41.1821772
10690894231__2334439514__cand_01_fastest,4,420776895,-8.5971925,41.1823245
10690894231__2334439514__cand_01_fastest,5,788826702,-8.598063,41.1825582
10690894231__2334439514__cand_01_fastest,6,788826707,-8.5989819,41.1828079
10690894231__2334439514__cand_01_fastest,7,431925048,-8.5993444,41.1829043
10690894231__2334439514__cand_01_fastest,8,430267079,-8.6011118,41.1833779
10690894231__2334439514__cand_01_fastest,9,112651995,-8.601425,41.1834539
10690894231__2334439514__cand_01_fastest,10,446308238,-8.6026487,41.1837239
10690894231__2334439514__cand_01_fastest,11,287458421,-8.6048909,41.1842227
10690894231__2334439514__cand_01_fastest,12,10832280405,-8.604953,41.1842402
10690894231__2334439514__cand_01_fastest,13,4520426801,-8.605292,41.1843269
10690894231__2334439514__cand_01_fastest,14,112651997,-8.6066461,41.1846323
10690894231__2334439514__cand_01_fastest,15,3139458237,-8.6071917,41.1847158
10690894231__2334439514__cand_01_fastest,16,11489024178,-8.6079745,41.1847598
10690894231__2334439514__cand_01_fastest,17,112652002,-8.6090463,41.1846757
10690894231__2334439514__cand_01_fastest,18,112652004,-8.6097347,41.1845367
10690894231__2334439514__cand_01_fastest,19,2169139649,-8.6099226,41.184488
10690894231__2334439514__cand_01_fastest,20,2169139651,-8.6101288,41.1844238
10690894231__2334439514__cand_01_fastest,21,430284836,-8.6118178,41.1837866
10690894231__2334439514__cand_01_fastest,22,112652015,-8.6134476,41.1833293
10690894231__2334439514__cand_01_fastest,23,112652019,-8.6180199,41.1825871
10690894231__2334439514__cand_01_fastest,24,112627996,-8.6183705,41.1823789
10690894231__2334439514__cand_01_fastest,25,112627997,-8.6193071,41.1817841
10690894231__2334439514__cand_01_fastest,26,3139458269,-8.620546,41.1811539
10690894231__2334439514__cand_01_fastest,27,112628000,-8.6219016,41.1806614
10690894231__2334439514__cand_01_fastest,28,112629313,-8.6228988,41.1803609
10690894231__2334439514__cand_01_fastest,29,2486315150,-8.6238022,41.1801771
10690894231__2334439514__cand_01_fastest,30,291991193,-8.6274757,41.1797924
10690894231__2334439514__cand_01_fastest,31,1561621066,-8.6289785,41.17962
10690894231__2334439514__cand_01_fastest,32,2583954419,-8.6296451,41.1795541
10690894231__2334439514__cand_01_fastest,33,3241140499,-8.6338977,41.1800313
10690894231__2334439514__cand_01_fastest,34,2292597582,-8.6342674,41.1802351
10690894231__2334439514__cand_01_fastest,35,13164581654,-8.6348435,41.180558
10690894231__2334439514__cand_01_fastest,36,1561604006,-8.6358021,41.1810937
10690894231__2334439514__cand_01_fastest,37,1561604053,-8.6361936,41.1813222
10690894231__2334439514__cand_01_fastest,38,10701585840,-8.6362379,41.1813461
10690894231__2334439514__cand_01_fastest,39,3139458268,-8.6369926,41.1817528
10690894231__2334439514__cand_01_fastest,40,3139458022,-8.637275,41.1819136
10690894231__2334439514__cand_01_fastest,41,1561604104,-8.6376799,41.1821412
10690894231__2334439514__cand_01_fastest,42,6241914180,-8.6379891,41.1823089
10690894231__2334439514__cand_01_fastest,43,1561604110,-8.6382609,41.1824598
10690894231__2334439514__cand_01_fastest,44,885948003,-8.6384811,41.1825894
10690894231__2334439514__cand_01_fastest,45,5486537273,-8.6395033,41.1831513
10690894231__2334439514__cand_01_fastest,46,5474314828,-8.6398913,41.1833634
10690894231__2334439514__cand_01_fastest,47,112628017,-8.6409582,41.1839497
10690894231__2334439514__cand_01_fastest,48,112628020,-8.6416622,41.1843166
10690894231__2334439514__cand_01_fastest,49,112628025,-8.6430707,41.1842739
10690894231__2334439514__cand_01_fastest,50,112628026,-8.6462188,41.1827622
10690894231__2334439514__cand_01_fastest,51,296060854,-8.6466097,41.1825548
10690894231__2334439514__cand_01_fastest,52,112628027,-8.6472289,41.1822039
10690894231__2334439514__cand_01_fastest,53,1837851206,-8.6477475,41.1819053
10690894231__2334439514__cand_01_fastest,54,7115350897,-8.6478456,41.1818493
10690894231__2334439514__cand_01_fastest,55,7115350900,-8.6481175,41.1816943
10690894231__2334439514__cand_01_fastest,56,492795582,-8.6488554,41.1812663
10690894231__2334439514__cand_01_fastest,57,1837851182,-8.6493662,41.1809911
10690894231__2334439514__cand_01_fastest,58,3897692305,-8.6494244,41.1809583
10690894231__2334439514__cand_01_fastest,59,111641067,-8.6499464,41.180656
10690894231__2334439514__cand_01_fastest,60,5476877544,-8.6509152,41.180092
10690894231__2334439514__cand_01_fastest,61,9864964885,-8.6515085,41.179759
10690894231__2334439514__cand_01_fastest,62,10828125196,-8.652259,41.1793321
